Descricao,Quantidade,TotalVenda,PrecoUnitario
CANETA BIC 4 CORES,1.0,9.8,9.8
CANETA BIC CELEBRATION A,3.0,20.1,6.7
CANETA BIC CRISTAL 1.6 A,2.0,4.4,2.2
CANETA BIC CRISTAL 1.6 P,9.0,19.8,2.2
CANETA BIC CRISTAL AZ,44.0,52.8,1.2
CANETA BIC CRISTAL ESCRI,95.0,94.5,0.99
CANETA BIC CRISTAL ESCRIT,20.0,20.0,1.0
CANETA BIC CRISTAL ESCRITO,6.0,6.0,1.0
CANETA BIC CRISTAL PRETA,24.0,28.8,1.2
CANETA BIC CRISTAL ULTRA,15.0,25.5,1.7
CANETA BIC CRISTAL ULTRAA,5.0,8.5,1.7
CANETA BIC CRISTAL ULTRA1,2.0,3.4,1.7
CANETA BIC CRISTAL VERDE,6.0,7.2,1.2
CANETA BIC CRISTAL VERME,6.0,7.2,1.2
CANETA BIC SHIMMERS FASH,5.0,11.5,2.3
CANETA COMPACTOR 07 AZUL,1.0,1.2,1.2
CANETA COMPACTOR 07 VERM,1.0,1.2,1.2
CANETA COMPACTOR ECONOMI,5.0,5.0,1.0
CANETA COMPACTOR MICROLI,1.0,5.0,5.0
CANETA COMPACTOR TOP 200,5.0,5.0,1.0
CANETA FABER CASTELL PRE,1.0,1.7,1.7
CANETA PILOT FINE AZ 07,2.0,7.6,3.8
CANETA PILOT FINE PRE 07,1.0,3.8,3.8
CANETA PILOT MEDIA AZUL,8.0,30.4,3.8
CANETA PILOT MEDIA PR M,4.0,15.2,3.8
CANETA PILOT MEDIA VERM,3.0,11.4,3.8
CANETA QUE APAGA  FRIXIO,2.0,39.6,19.8
CANETE CIS SPIRO 07MM SO,35.0,133.0,3.8
CANTETA BIC F ENEM,2.0,2.0,1.0
MARC RET PROJ PIL 1.0P,1.0,9.5,9.5
MARCADOR CD E DVD PILOTO,5.0,31.8,6.36
MARCADOR CD PONTA FINA 1,3.0,30.0,10.0
MARCADOR CD RETO PROJETO,1.0,4.5,4.5
MARCADOR CDXDVD PILOT 2.,5.0,34.0,6.8
MARCADOR PERMANENTE FC A,1.0,5.3,5.3
MARCADOR PERMANENTE PILO,1.0,6.9,6.9
MARCADOR PONTA DUPLA AZ,4.0,18.0,4.5
MARCADOR QUADRO BRANCO B,1.0,7.0,7.0
MARCADOR QUADRO BRANCO B,3.0,21.0,7.0
MARCADOR QUADRO BRANCO V,1.0,7.0,7.0
MARCADOR RETRO PROJETOR,4.0,22.5,5.62
MARCADOR RETRO PROJETOR1,10.0,62.0,6.2
MARCADOR RETRO PROJETOR2,12.0,74.4,6.2
MARCADOR RETRO PROJETOR3,2.0,12.4,6.2
PINCEL ATOMICO BIC RECAR,5.0,22.5,4.5
PINCEL ATOMICO BIC RECAR,4.0,18.0,4.5
